time,open,high,low,close
2020-12-01T21:30:00Z,383.56,388.73,380.73,386.14
2020-12-02T21:30:00Z,386.27,387.42,383.69,387.02
2020-12-03T21:30:00Z,386.68,391.4,386.68,387.84
2020-12-06T21:30:00Z,388.68,389.5,383.11,386.57
2020-12-07T21:30:00Z,386.56,387.09,383.89,385.72
2020-12-08T21:30:00Z,385.71,389.42,384.88,387.3
2020-12-09T21:30:00Z,387.29,398.66,387.29,394.52
2020-12-10T21:30:00Z,394.51,396.66,391.67,393.79
2020-12-13T21:30:00Z,393.72,397.8,390.79,395.18
2020-12-14T21:30:00Z,395.26,398.58,393.66,398.22
2020-12-15T21:30:00Z,398.36,400.49,397.13,400.03
2020-12-16T21:30:00Z,400.13,405.12,400.13,404.64
2020-12-17T21:30:00Z,404.51,408.6,404.07,407.68
2020-12-20T21:30:00Z,408.02,408.02,393.69,402.01
2020-12-21T21:30:00Z,402.18,402.72,395.82,398.24
2020-12-22T21:30:00Z,398.69,406.13,394.78,404.3
2020-12-23T21:30:00Z,404.54,406.54,402.63,404.95
2020-12-27T21:30:00Z,404.67,406.91,401.52,401.94
2020-12-28T21:30:00Z,401.83,405.5,401.53,404.75
2020-12-29T21:30:00Z,404.68,408.5,403.56,407.59
2020-12-30T21:30:00Z,407.83,409.73,405.45,409.39
2021-01-03T21:30:00Z,409.75,418.98,406.51,407.76
2021-01-04T21:30:00Z,408.05,421.8,407.43,420.72
2021-01-05T21:30:00Z,420.63,425.44,419.97,420.69
2021-01-06T21:30:00Z,422.7,425.87,420.86,423.61
2021-01-07T21:30:00Z,423.6,427.95,423.28,427.86
2021-01-10T21:30:00Z,427.84,427.98,422.51,426.27
2021-01-11T21:30:00Z,426.26,434.14,425.96,434.03
2021-01-12T21:30:00Z,434.02,438.61,432.13,433.66
2021-01-13T21:30:00Z,433.65,437.44,430.62,437.01
2021-01-14T21:30:00Z,436.94,438.08,429.55,431.46
2021-01-18T21:30:00Z,431.76,434.27,430.23,432.26
2021-01-19T21:30:00Z,432.33,434.83,431.45,433.22
2021-01-20T21:30:00Z,433.66,434.57,431.89,433.17
